Header: Table 2
"INTRUCTIONS

Once you have completed the development of your app. please fill out the empty cells in the two tabs
Attach the file to your email to Apple

March 2026 v1.6";
Team ID;
App Name;
PSP Name;
Date;
Version;
Existing or New app;
Distribution type (Public / Unlisted / Enterprise);
Number of Devices;

Checklist: Table 1
;;;How to Demonstrate;Status;Comments (Optional)
;;General Requirements Checklist;;;
;;;;;
1,1;Required;Your app must support Tap to Pay on compatible iPhone devices, specifically iPhone XS and later.;Checklist;;
1,2;Conditional;If your app uses Tap to Pay on iPhone as its primary payment method, you must set the iOS Deployment Target in Xcode to the minimum version that supports your Tap to Pay configuration.  Verify this minimum version with your PSP’s SDK documentation.;;;
1,3;Conditional;If your app uses Tap to Pay on iPhone as its primary payment method, ensure compatibility by requiring iPhone and iPad users with the A12 minimum performance and UIRequiredDeviceCapabilities.;;;
1,4;Required;For iOS versions prior to 17.6, your app must handle the PaymentCardReaderError.osVersionNotSupported error by displaying a message informing the user that they need to update to the latest iOS version.;;;
1,5;Required;At the launch of your app or when it comes to the foreground, your app must trigger the initial preparation and warming-up of Tap to Pay on an iPhone.  For more details, please refer to your PSP’s SDK documentation.;;;
1,6;Required;For the status of whether a merchant has accepted Tap to Pay on iPhones, retrieve it from Apple instead of storing it in a local variable in your app.  Refer to the PSP’s SDK documentation for more details.;;;
1,7;Recommended;Merchants should be able to use FaceID or TouchID for a seamless login experience on apps available on the public App Store.;;;
1,8;Conditional;Apps published via the public App Store must follow the Human Interface Guidelines.;;;
1,9;Conditional;Apps published via the public App Store must follow the Tap to Pay on iPhone Developer Marketing Guidelines, which are based on the Tap to Pay on iPhone Marketing Guide and Toolkit.;;;
;;Onboarding Merchants Requirements;;;
;;;;;
2,1;Required;A new user who downloads your app should be easily able to discover the process for creating an account and accessing Tap to Pay on iPhone.;New User Flow Recording;;
2,2;Required;Creating an account and accessing Tap to Pay on iPhone requires a fully digital onboarding experience within the app.  This experience must be fully completed on an iPhone.;;;
2,3;Required;"For most users, digital onboarding should take less than 15 minutes*. This includes submitting information or requesting access for existing merchants, followed by accepting payment using Tap to Pay on an iPhone.

*In compliance with local merchant onboarding regulations.";;;
;;Enabling Tap to Pay on iPhone Requirements;;;
;;;;;
3,1;Required;Your app provides highly visible and easily discoverable communication for Tap to Pay on iPhone.;New User and / or Existing User Flow Recording;;
3,2;Recommended;Your app implements a full-screen modal (splash screen) for Tap to Pay on iPhone. (This also fulfils Marketing requirement 6.2.);;;
